time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.0,44,,,,,,,unknown
1.4e-05,44,,,,,,,unknown
0.000551,76,TCP,10.0.0.2,10.0.0.1,,,,normal
0.000558,76,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001066,68,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001277,92,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00129,7308,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001293,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001331,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001333,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001334,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00142,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001426,11652,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001427,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001431,11652,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001468,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001473,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001475,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001478,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001479,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001483,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001486,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001498,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001504,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001511,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001516,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001522,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001526,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001531,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001569,45708,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00158,46404,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001598,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001603,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001603,27580,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001749,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001757,37716,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00177,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001771,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001772,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00179,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001798,20396,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001806,20564,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001846,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001853,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001853,63780,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001864,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001869,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001869,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001873,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001876,21420,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001878,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001882,24684,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001883,436,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001883,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001993,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001994,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001995,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002004,40612,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002015,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00202,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00202,30220,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002047,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002051,35076,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002052,63780,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002223,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002229,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002229,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00223,40468,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002263,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002267,24828,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002275,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002284,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002295,48492,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002304,56980,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00244,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002445,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002454,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002459,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002462,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002463,13108,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002644,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002652,52188,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002653,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002653,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002689,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002693,50748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002694,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002694,15812,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003071,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00308,49484,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003081,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003081,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003105,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00311,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00311,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003111,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003255,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003261,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003261,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003261,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003301,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003309,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003309,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003309,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00357,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00358,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00358,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003581,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003645,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003653,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003654,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003654,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00493,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004938,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004938,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004938,56540,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00497,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004972,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004973,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004992,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005011,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004993,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005019,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004993,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005027,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004993,7204,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005029,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004994,58092,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005034,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004994,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005041,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004995,59436,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005047,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004995,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005049,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004995,52196,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005055,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005068,10204,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005072,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005069,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005073,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005069,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005081,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005069,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005087,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00507,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005088,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00507,62332,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005094,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00507,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005101,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005113,20348,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005115,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005129,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005133,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00514,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005145,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005147,820,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005148,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005156,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00516,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005166,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.00517,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005173,820,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005174,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005181,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005185,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005192,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005196,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005198,820,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005199,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005207,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005212,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005219,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005223,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005225,820,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005226,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005234,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005238,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005245,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005248,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.00525,820,TCP,10.0.0.2,10.0.0.1,,,,normal
0.005251,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.005259,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
